Station,Date,Q_cfs,Q_cd
4193500,1/10/75,26300,A
4193500,1/11/75,31600,A
4193500,1/12/75,28500,A
4193500,1/13/75,22300,A
4193500,1/14/75,16200,A
4193500,1/15/75,12200,A
4193500,1/16/75,9260,A
4193500,1/17/75,5830,A
4193500,1/18/75,5000,A
4193500,1/19/75,4200,A
4193500,1/20/75,3500,A
4193500,1/21/75,3000,A
4193500,1/22/75,2700,A
4193500,1/23/75,2300,A
4193500,1/24/75,2100,A
4193500,1/25/75,2000,A
4193500,1/26/75,2100,A
4193500,1/27/75,2760,A
4193500,1/28/75,3140,A
4193500,1/29/75,5650,A
4193500,1/30/75,13500,A
4193500,1/31/75,20100,A
4193500,2/1/75,17600,A
4193500,2/2/75,13600,A
4193500,2/3/75,10400,A
4193500,2/4/75,6400,A
4193500,2/5/75,5800,A
4193500,2/6/75,5000,A
4193500,2/7/75,4200,A
4193500,2/8/75,3600,A
4193500,2/9/75,3200,A
4193500,2/10/75,2800,A
4193500,2/11/75,2500,A
4193500,2/12/75,2300,A
4193500,2/13/75,2100,A
4193500,2/14/75,1900,A
4193500,2/15/75,1800,A
4193500,2/16/75,1700,A
4193500,2/17/75,1900,A
4193500,2/18/75,5220,A
4193500,2/19/75,12600,A
4193500,2/20/75,18500,A
4193500,2/21/75,13200,A
4193500,2/22/75,9040,A
4193500,2/23/75,20400,A
4193500,2/24/75,42700,A
4193500,2/25/75,49400,A
4193500,2/26/75,48800,A
4193500,2/27/75,41600,A
4193500,2/28/75,29500,A
4193500,3/1/75,20900,A
4193500,3/2/75,16900,A
4193500,3/3/75,12300,A
4193500,3/4/75,8430,A
4193500,3/5/75,5360,A
4193500,3/6/75,4590,A
4193500,3/7/75,4360,A
4193500,3/8/75,8220,A
4193500,3/9/75,9940,A
4193500,3/10/75,8910,A
4193500,3/11/75,7050,A
4193500,3/12/75,6190,A
4193500,3/13/75,6080,A
4193500,3/14/75,6590,A
4193500,3/15/75,6220,A
4193500,3/16/75,5290,A
4193500,3/17/75,5220,A
4193500,3/18/75,6370,A
4193500,3/19/75,8300,A
4193500,3/20/75,9660,A
4193500,3/21/75,9750,A
4193500,3/22/75,8640,A
4193500,3/23/75,6560,A
4193500,3/24/75,6300,A
4193500,3/25/75,5680,A
4193500,3/26/75,4980,A
4193500,3/27/75,4880,A
4193500,3/28/75,4820,A
4193500,3/29/75,4680,A
4193500,3/30/75,8910,A
4193500,3/31/75,14500,A
4193500,4/1/75,12900,A
4193500,4/2/75,8050,A
4193500,4/3/75,7320,A
4193500,4/4/75,6300,A
4193500,4/5/75,6120,A
4193500,4/6/75,5610,A
4193500,4/7/75,4880,A
4193500,4/8/75,4550,A
4193500,4/9/75,4050,A
4193500,4/10/75,3780,A
4193500,4/11/75,3260,A
4193500,4/12/75,2960,A
4193500,4/13/75,2650,A
4193500,4/14/75,2340,A
4193500,4/15/75,2290,A
4193500,4/16/75,2140,A
4193500,4/17/75,1830,A
4193500,4/18/75,2060,A
4193500,4/19/75,3320,A
4193500,4/20/75,4550,A
4193500,4/21/75,5720,A
4193500,4/22/75,6190,A
4193500,4/23/75,6120,A
4193500,4/24/75,6820,A
4193500,4/25/75,12500,A
4193500,4/26/75,14600,A
4193500,4/27/75,10700,A
4193500,4/28/75,7720,A
4193500,4/29/75,10800,A
4193500,4/30/75,12800,A
4193500,5/1/75,11500,A
4193500,5/2/75,10400,A
4193500,5/3/75,7440,A
4193500,5/4/75,6300,A
4193500,5/5/75,5290,A
4193500,5/6/75,8130,A
4193500,5/7/75,13500,A
4193500,5/8/75,9350,A
4193500,5/9/75,7520,A
4193500,5/10/75,6450,A
4193500,5/11/75,5970,A
4193500,5/12/75,5430,A
4193500,5/13/75,4550,A
4193500,5/14/75,3630,A
4193500,5/15/75,3020,A
4193500,5/16/75,2140,A
4193500,5/17/75,2090,A
4193500,5/18/75,2040,A
4193500,5/19/75,1920,A
4193500,5/20/75,1970,A
4193500,5/21/75,7680,A
4193500,5/22/75,10600,A
4193500,5/23/75,19000,A
4193500,5/24/75,21600,A
4193500,5/25/75,14000,A
4193500,5/26/75,7090,A
4193500,5/27/75,6560,A
4193500,5/28/75,5360,A
4193500,5/29/75,4080,A
4193500,5/30/75,3200,A
4193500,5/31/75,2600,A
4193500,6/1/75,2490,A
4193500,6/2/75,3170,A
4193500,6/3/75,4520,A
4193500,6/4/75,6220,A
4193500,6/5/75,11100,A
4193500,6/6/75,13600,A
4193500,6/7/75,10900,A
4193500,6/8/75,7320,A
4193500,6/9/75,5260,A
4193500,6/10/75,3990,A
4193500,6/11/75,3470,A
4193500,6/12/75,3990,A
4193500,6/13/75,6010,A
4193500,6/14/75,5790,A
4193500,6/15/75,6480,A
4193500,6/16/75,22600,A
4193500,6/17/75,21400,A
4193500,6/18/75,14900,A
4193500,6/19/75,7170,A
4193500,6/20/75,5900,A
4193500,6/21/75,4430,A
4193500,6/22/75,3840,A
4193500,6/23/75,3630,A
4193500,6/24/75,3260,A
4193500,6/25/75,5470,A
