,X,Stream,SampleDate,Season,Month,AmbP,Discharge,Percentile_flow,Percentile,GageHeight,pH,Model,EPC,NAP,sorp_capacity,Nitrate_Nitrite,Ammonia,Chlorophyll_ug_L,TempC,Turbidity_FNU,SPConductivity_us_cm,gDM_L_avg,gDM_avg,gAFDM_avg,gAFDM_L_avg,ugP_L_avg,ugPP_avg,mean_diam,ug_L_Chla,MeanMassSed_g,percentPP,percentOM,slope_ambP,DOY,mass_sorp_P_DM_m
1,1,Little Flat Rock,1/24/19,Winter,1,267.83,176,95.7,high,7.49,7.3,Langmuir,53.15,23.8,1544.88,4358.66,92.49,5.76,0.01,119.84,208.1,0.074913111,0.008067967,0.001582433,0.014745222,81.96687395,2.07335295,7.655,0.465897436,0.043044444,0.02569858,19.61377631,2.00685019,24,46.62274625
2,2,Platter Creek,1/24/19,Winter,1,241.29,229,95.1,high,5.16,7.3,Langmuir,26.2,44.79,186.04,10131.33,113.91,7,-0.01,78.83,379.5,0.066923733,0.008365467,0.001752467,0.014019733,66.82428896,1.711707658,9.555,2.101333333,0.036977778,0.020461591,20.94882449,3.6844983,24,99.64087891
3,3,Unnamed Trib to Lost Creek,1/24/19,Winter,1,273.63,15.2,94.6,high,2.17,7.38,Linear,55.7,42.59,NA,3318,212.33,5.96,0.914,37.51,395,0.028307378,0.003747533,0.0015468,0.011654756,64.90002327,1.876360452,24.14,0.975555556,0.035744444,0.050069218,41.27515355,1.23461856,24,34.54015287
4,4,South Turkey Foot,1/24/19,Winter,1,163.93,1430,98.85,high,10.27,NA,Langmuir,27.28,36.04,203.17,4769.33,55.58,6.02,0.019,150.01,271.2,0.124414667,0.012441467,0.001795733,0.017957333,114.9564842,2.913234861,5.52,1.465230769,0.0399,0.023415525,14.43345065,2.57517637,24,64.54076115
5,5,West Creek,1/24/19,Winter,1,173.31,312,99,high,9.03,NA,Langmuir,18.4,45.2,251.48,4368,43.63,5.42,0.039,123.06,213.6,0.073439,0.0073439,0.0014367,0.014367,81.67263994,2.068779668,8.375,0.582102564,0.047444444,0.028170041,19.56317488,3.0537222,24,64.36416875
6,6,Potato Run,1/24/19,Winter,1,192.45,449,99.66,high,7.65,NA,Linear,40.7,NA,NA,2464,83.72,4.1,0.001,72.82,168,0.036961867,0.004620233,0.001336533,0.010692267,57.23351487,1.430837872,12.96,0.756820513,0.028566667,0.030968955,28.9278268,0.41857875,24,14.6526982
7,7,Little Flat Rock,2/8/19,Winter,2,212.43,62.4,84,int,5.23,NA,Langmuir,28.27,42.29,98.31,4914,61.69,NA,NA,NA,NA,0.19016381,0.013056533,0.0020822,0.031838412,197.8269799,4.355270761,5.395,1.106587302,0.034533333,0.033357023,15.94757199,-0.37578867,39,-10.8819114
8,8,Platter Creek,2/8/19,Winter,2,190.61,111,87.5,int,2.7,7.99,Langmuir,33.6,32.95,111.05,9263.33,123.67,5.95,-0.019,91.81,434.9,0.069243841,0.006996767,0.001681567,0.016638958,83.47067062,2.170237436,12.06,1.453319357,0.062166667,0.031017718,24.03348575,-0.022072638,39,-0.355055837
9,9,Unnamed Trib to Lost Creek,2/8/19,Winter,2,90.51,7.75,90.4,high,1.92,7.97,Langmuir,34.97,240.22,448.16,1918,89.69,4.2,1.351,21.64,392.5,0.020510083,0.0020582,0.001116,0.01112096,47.23060758,1.980687481,17.36,1.571910569,0.0345,0.096233966,54.22213585,0.39408054,39,11.42262435
10,10,South Turkey Foot,2/8/19,Winter,2,145.06,754,94.9,high,7.59,8.03,Langmuir,19.56,30.33,138.74,4573.33,31.87,6.21,1.39,173.02,304.9,0.156427857,0.0125761,0.002144333,0.026989619,190.7474841,4.768687102,7.155,1.813333333,0.040711111,0.037918648,17.05085837,4.025415,39,98.87755213
11,11,West Creek,2/8/19,Winter,2,121.88,71.2,91.6,high,5.82,8.02,Langmuir,43.37,23.22,107.65,3831.33,21.49,5.05,0.568,191.76,289.2,0.116701621,0.008660167,0.001765633,0.023785311,178.4512613,4.521005898,9.26,0.762205128,0.0365,0.052204604,20.38797866,0.40305716,39,11.04266192
12,12,Potato Run,2/8/19,Winter,2,136.74,68.1,92.84,high,4.77,8.25,Linear,72.6,NA,NA,2585.33,61.13,5.66,1.244,142.63,314.6,0.118382368,0.0083263,0.001758267,0.025002555,173.0306242,4.325765605,8.73,2.491179487,0.028377778,0.051953036,21.11702677,0.15027726,39,5.295596435
13,13,Little Flat Rock,3/10/19,Spring,3,342.93,250,98,high,8.58,8.6,Langmuir,20.19,56.41,150.4,1787.33,226.8,8.79,2.465,1033.03,135.2,1.080994444,0.0169783,0.002147733,0.13714125,1014.28861,5.071443052,5.613658537,3.183333333,0.214866667,0.029870146,12.64987072,9.74469888,69,45.35230623
14,14,Platter Creek,3/10/19,Spring,3,565.14,335,97.7,high,6.27,7.99,Langmuir,55.43,53.51,134.67,2216.66,349.07,10.7,1.81,519.49,183.9,0.593405556,0.010948,0.001856433,0.101385556,532.1681056,3.02022418,8.734444444,4.271428571,0.196066667,0.027586995,16.95682316,23.961936,69,122.2132062
15,15,Unnamed Trib to Lost Creek,3/10/19,Spring,3,232.33,28.8,97.3,high,2.53,8.11,Langmuir,37.48,43.34,156.52,1176,272.53,5.8,1.736,126.7,208.8,0.126842667,0.0095132,0.001936133,0.025815111,178.956299,3.82242897,15.355,2.257720058,0.079566667,0.040180265,20.3520687,3.51770853,69,44.21083178
16,16,South Turkey Foot,3/10/19,Spring,3,210.75,603,93,high,6.53,8.16,Langmuir,36.92,39.83,111.01,2697.33,231,11.26,1.057,473.45,320.9,0.513405873,0.010423133,0.0017326,0.085268016,469.2118038,2.511507445,7.480530973,5.223809524,0.192622222,0.024095514,16.6226412,4.3836,69,22.75749887
17,17,West Creek,3/10/19,Spring,3,276.52,192,97.4,high,7.89,8.13,Langmuir,27.73,94.93,142.29,2109.33,140.84,8.1,1.943,635.5,182.8,0.472893333,0.009457867,0.001756833,0.087841667,499.2425358,2.776000388,4.740857143,2.005555556,0.150388889,0.029351231,18.57536165,5.50247148,69,36.58828466
18,18,Potato Run,3/10/19,Spring,3,210.75,141,96,high,5.96,8.44,Langmuir,21.41,17.45,469.19,3336.66,173.6,6.75,2.331,599.38,217.6,0.48199,0.0096398,0.001778367,0.088918333,513.6454376,3.081872625,5.967894737,2.753333333,0.1531,0.031970296,18.4481732,4.84788225,69,31.66480895
19,19,Little Flat Rock,3/31/19,Spring,3,188.79,212,96.8,high,8.05,10.66,Langmuir,20.918,10.76,149.87,5124,236.88,8.08,2.175,521.13,184.9,0.379868103,0.009605267,0.0018529,0.073153231,402.6788735,4.699763208,2.625,2.565757576,0.121377778,0.048929022,19.29045804,1.26508179,90,10.42268042
20,20,Platter Creek,3/31/19,Spring,3,184.47,192,93.4,high,4.96,8.42,Langmuir,38.88,19.56,95.15,6710.666667,81.85333333,9.93,2.338,218.16,296.1,0.23389,0.0093556,0.001939567,0.048489167,242.1802072,3.481404458,6.585,4.557777778,0.118544444,0.037211985,20.73161529,1.5606162,90,13.16481943
21,21,Unnamed Trib to Lost Creek,3/31/19,Spring,3,82.81,21.7,96.3,high,2.35,8.65,Langmuir,18.8,29.72,73.54,1665.066667,82.88,6.48,3.677,72.83,342.3,0.076692181,0.006155533,0.001503267,0.01871909,104.9011332,2.098022664,11.24,4.649444444,0.130388889,0.034083526,24.42139454,2.1638253,90,16.59516633
22,22,South Turkey Foot,3/31/19,Spring,3,100.87,1210,98.15,high,9.57,9.26,Langmuir,29.51,57.27,113.35,7681.333333,66.82666667,7.84,3.798,304.08,340.3,0.303744167,0.012149767,0.0020521,0.0513025,360.5103357,5.0744708,4.490857143,3.288247863,0.105955556,0.041765993,16.89003583,1.4555541,90,13.73740231
23,23,West Creek,3/31/19,Spring,3,93.28,192,97.4,high,7.93,8.36,Langmuir,21.2,22.62,117.76,7168,43.86666667,6.57,3.763,313.21,287.9,0.2367425,0.0094697,0.001831833,0.045795833,260.7281309,2.961665559,4.495,1.491608392,0.082066667,0.031275178,19.34415029,2.12277296,90,25.86644539
24,24,Potato Run,3/31/19,Spring,3,167.99,139,95.87,high,5.93,8.95,Langmuir,29.12,23.92,222.66,3798.666667,86.24,7.38,3.841,258.4,229.8,0.221626524,0.009009567,0.001868267,0.045953821,289.4234432,3.4881911,6.19,3.324494949,0.095877778,0.038716523,20.73647934,6.2021908,90,64.68851208
