Date,Stream,Experiment,Details,Type,Time_min,Time_minAdj,Added_ugP_L,Final_ugP_L,MassSed_g
Jan-24-2019,LFR,Padd,LFR Up 0,timeSmp,,0,,248.68,
Jan-24-2019,LFR,Padd,LFR Up 0,timeSmp,0,10,248.68,255.57,0.0359
Jan-24-2019,LFR,Padd,1,timeSmp,1,11,248.68,230.69,0.0314
Jan-24-2019,LFR,Padd,3,timeSmp,3,13,248.68,247.53,0.042
Jan-24-2019,LFR,Padd,5,timeSmp,5,15,248.68,244.08,0.0434
Jan-24-2019,LFR,Padd,10,timeSmp,10,20,248.68,243.32,0.0492
Jan-24-2019,LFR,Padd,15,timeSmp,15,25,248.68,241.79,0.0458
Jan-24-2019,LFR,Padd,30,timeSmp,30,40,248.68,237.96,0.0504
Jan-24-2019,LFR,Padd,45,timeSmp,45,55,248.68,218.44,0.0485
Jan-24-2019,LFR,Padd,60,timeSmp,60,70,248.68,241.02,0.0408
Jan-24-2019,LFR,Premin,LFR Remin 0,timeSmp,,0,,,
Jan-24-2019,LFR,Premin,LFR Remin 0,timeSmp,0,10,,10.13,0.0486
Jan-24-2019,LFR,Premin,1,timeSmp,1,11,,10.68,0.0419
Jan-24-2019,LFR,Premin,3,timeSmp,3,13,,19.85,0.0685
Jan-24-2019,LFR,Premin,5,timeSmp,5,15,,13.07,0.0484
Jan-24-2019,LFR,Premin,10,timeSmp,10,20,,14.40,0.0502
Jan-24-2019,LFR,Premin,15,timeSmp,15,25,,19.42,0.0689
Jan-24-2019,LFR,Premin,30,timeSmp,30,40,,13.32,0.0494
Jan-24-2019,LFR,Premin,45,timeSmp,45,55,,12.73,0.0452
Jan-24-2019,LFR,Premin,60,timeSmp,60,70,,14.46,0.0459
Jan-24-2019,LFR,Psorp,LFR Sorption 0,timeSmp,,,0,21.0442,0.0546
Jan-24-2019,LFR,Psorp,2.5,timeSmp,,,77.43,67.5954,0.049
Jan-24-2019,LFR,Psorp,5,timeSmp,,,154.85,117.9938,0.0516
Jan-24-2019,LFR,Psorp,10,timeSmp,,,309.70,216.8669,0.0555
Jan-24-2019,LFR,Psorp,15,timeSmp,,,464.55,324.9734,0.0496
Jan-24-2019,LFR,Psorp,20,timeSmp,,,619.40,438.0812,0.0475
Jan-24-2019,Platter ,Padd,Platter Up 0,timeSmp,,0,,228.39,
Jan-24-2019,Platter ,Padd,Platter Up 0,timeSmp,0,10,228.39,192.79,0.0328
Jan-24-2019,Platter ,Padd,1,timeSmp,1,11,228.39,205.04,0.036
