Stream,Gauge_start,Gauge_end,SegLgM,SlopeMm
LFR,Auglaize_defiance,Maumee_defiance ,15732.32,0.0002
PR,Blanchard_above_Findlay,Blanchard_heidelberg,10351.3,0.0012
PR,Blanchard_at_Dupont,Auglaize_defiance,43248.3,0.0004
PR,Blanchard_at_Ottawa,Blanchard_at_Dupont,26112.94,0.0003
PR,Blanchard_heidelberg,Blanchard_at_Gilboa,28206.57,0.0003
PR,Blanchard_near_Mt_Blanchard,Blanchard_above_Findlay,18524.8,0.0005
PR,Blancharg_at_Gilboa,Blanchard_at_Ottawa,15660.65,0.0007
LFR,LFR,Auglaize_defiance,12038.83,0.0001
PR,Maumee_defiance,Maumee_waterville,63246,0.0003
PC,PC,Maumee_defiance ,35333.097,0.0004
PR,PR,Blanchard_near_Mt_Blanchard,7921.07,0.0009
STF,STF,Maumee_waterville,38715.53,0.0006
UTLC,UTLC,Maumee_defiance ,51221.81,0.0007
WC,WC,STF,17977.07,0.0006
