"","Stream","SampleDate","Percentile_flow","percentPP","percentOM","Sms_gPgDMmin","Svol_gPm3Min","NAP_gPgDM","Scap_gPgDM","Smax_gPgDM","AmbP_gPm3","EPC_gPm3","SS_gDMm3","PP_gPm3","Q_m3min"
"1","PC",2019-01-24,95.1,0.020461591,20.94882449,1.66068131516667e-06,0.000111138992934303,4.479e-05,0.00018604,0.00023083,0.24129,0.0262,66.923733,0.06682428896,389.073436053629
"2","STF",2019-01-24,98.85,0.023415525,14.43345065,1.0756793525e-06,0.000133830288440063,3.604e-05,0.00020317,0.00023921,0.16393,0.02728,124.414667,0.1149564842,2429.58521203794
"3","WC",2019-01-24,99,0.028170041,19.56317488,1.07273614583333e-06,7.87806698138542e-05,4.52e-05,0.00025148,0.00029668,0.17331,0.0184,73.439,0.08167263994,530.091318990097
"4","UTLC",2019-02-08,90.4,0.096233966,54.22213585,1.903770725e-07,3.90464955827202e-06,0.00024022,0.00044816,0.00068838,0.09051,0.03497,20.510083,0.04723060758,13.167332442863
"5","STF",2019-02-08,94.9,0.037918648,17.05085837,1.64795920216667e-06,0.000257786726418361,3.033e-05,0.00013874,0.00016907,0.14506,0.01956,156.427857,0.1907474841,1281.05402089273
"6","WC",2019-02-08,91.6,0.052204604,20.38797866,1.84044365333333e-07,2.14782757703162e-05,2.322e-05,0.00010765,0.00013087,0.12188,0.04337,116.701621,0.1784512613,120.969557410561
"7","LFR",2019-03-10,98,0.029870146,12.64987072,7.558717705e-07,0.000817093184286943,5.641e-05,0.0001504,0.00020681,0.34293,0.02019,1080.994444,1.01428861,424.752659447193
"8","PC",2019-03-10,97.7,0.027586995,16.95682316,2.03688677e-06,0.00120869992626089,5.351e-05,0.00013467,0.00018818,0.56514,0.05543,593.405556,0.5321681056,569.168563659239
"9","UTLC",2019-03-10,97.3,0.040180265,20.3520687,7.36847196333333e-07,9.34636635543926e-05,4.334e-05,0.00015652,0.00019986,0.23233,0.03748,126.842667,0.178956299,48.9315063683166
"10","STF",2019-03-10,93,0.024095514,16.6226412,3.79291647833333e-07,0.000194730559577481,3.983e-05,0.00011101,0.00015084,0.21075,0.03692,513.405873,0.4692118038,1024.50341458663
"11","WC",2019-03-10,97.4,0.029351231,18.57536165,6.09804744333333e-07,0.000288372598027003,9.493e-05,0.00014229,0.00023722,0.27652,0.02773,472.893333,0.4992425358,326.210042455444
"12","PR",2019-03-10,96,0.031970296,18.4481732,5.27746815833333e-07,0.000254368687763508,1.745e-05,0.00046919,0.00048664,0.21075,0.02141,481.99,0.5136454376,239.560499928217
"13","LFR",2019-03-31,96.8,0.048929022,19.29045804,1.73711340333333e-07,6.59873973220107e-05,1.076e-05,0.00014987,0.00016063,0.18879,0.020918,379.868103,0.4026788735,360.19025521122
"14","PC",2019-03-31,93.4,0.037211985,20.73161529,2.19413657166667e-07,5.13186602747117e-05,1.956e-05,9.515e-05,0.00011471,0.18447,0.03888,233.89,0.2421802072,326.210042455444
"15","UTLC",2019-03-31,96.3,0.034083526,24.42139454,2.765861055e-07,2.12119916650911e-05,2.972e-05,7.354e-05,0.00010326,0.08281,0.0188,76.692181,0.1049011332,36.8685308400163
"16","STF",2019-03-31,98.15,0.041765993,16.89003583,2.28956705166667e-07,6.95442636899138e-05,5.727e-05,0.00011335,0.00017062,0.10087,0.02951,303.744167,0.3605103357,2055.80287172441
"17","WC",2019-03-31,97.4,0.031275178,19.34415029,4.31107423166667e-07,0.000102061449129035,2.262e-05,0.00011776,0.00014038,0.09328,0.0212,236.7425,0.2607281309,326.210042455444
"18","PR",2019-03-31,95.87,0.038716523,20.73647934,1.078141868e-06,0.000238944834583707,2.392e-05,0.00022266,0.00024658,0.16799,0.02912,221.626524,0.2894234432,236.162478652639
"19","PC",2019-04-12,31,0.042236166,34.7511145,3.99780111833333e-08,9.48310927391759e-07,0.00010745,0.0001853,0.00029275,0.01063,0.00693,23.720813,0.02574540258,13.9828575490016
"20","STF",2019-04-12,53.5,0.062061344,48.42420638,8.61056679333333e-08,1.39446940959816e-06,0.00019961,0.00030575,0.00050536,0.01076,0.00435,16.194862,0.02661372162,75.7758744453792
"21","WC",2019-04-12,49.5,0.056539938,73.49797046,8.954147445e-08,8.39857124930957e-07,9.791e-05,0.00029485,0.00039276,0.00983,0.00559,9.379532,0.0130150597,8.47806308256597
"22","PR",2019-04-12,54,0.05337824,32.90728656,5.92170982333333e-07,1.32576524535818e-05,0.00059364,0.00053546,0.0011291,0.03392,0.00568,22.388217,0.03157322911,8.32515212516498
"23","LFR",2019-04-15,63.6,0.031784466,20.93516493,2.92266815666667e-07,3.73856344344339e-05,1.135e-05,0.00035371,0.00036506,0.14276,0.0136,127.916111,0.1144412052,29.053081906188
"24","PC",2019-04-15,71.6,0.033789439,22.13850786,2.798184615e-07,2.61367931694844e-05,2.514e-05,0.00013583,0.00016097,0.12491,0.01768,93.40625,0.1009966324,43.4946723273926
"25","STF",2019-04-15,87.6,0.037882798,19.81821229,1.33152467366667e-07,1.6219851437014e-05,9.4e-06,0.00015552,0.00016492,0.04965,0.00646,121.814126,0.1469310741,618.439872155113
"26","WC",2019-04-15,86,0.03984198,25.59116488,5.370272745e-07,3.46675765982195e-05,8.7e-07,0.000276,0.00027687,0.04272,8e-04,64.554592,0.09395293767,68.6400297666664
"27","PR",2019-04-15,85.5,0.050958172,21.47890361,8.22222267833333e-07,0.000104793370102088,2.555e-05,0.00021741,0.00024296,0.13223,0.01586,127.451389,0.2018769854,42.4752659447193
"28","LFR",2019-04-20,84.6,0.036626259,13.39111644,4.63292661166667e-07,0.000334260323459805,1.918e-05,0.00013959,0.00015877,0.1573,0.01964,721.488492,0.6429355139,111.455097838943
"29","PC",2019-04-20,90.3,0.036591857,16.86440035,5.27514076333333e-07,0.000319196381115619,2.237e-05,0.00011126,0.00013363,0.13512,0.02818,605.095476,0.5508249461,234.46346801485
"30","UTLC",2019-04-20,98.1,0.04251937,21.53771638,5.54710755e-07,0.000138641346874886,6.868e-05,0.00018305,0.00025173,0.17092,0.02709,249.934485,0.3382132564,65.9216127462043
"31","STF",2019-04-20,94.7,0.037997408,20.87970966,1.8157742e-07,4.2456307419135e-05,1.852e-05,0.0001072,0.00012572,0.12942,0.02254,233.819312,0.2541430412,1245.37479749917
"32","WC",2019-04-20,96.1,0.044484079,18.55916629,6.71005525333333e-07,0.000174640371617091,2.147e-05,0.00023573,0.0002572,0.12384,0.0131,260.266667,0.35968418,248.055553117161
"33","PR",2019-04-20,99.77,0.051102322,20.26489044,1.51648918433333e-06,0.000916758152146579,1.698e-05,0.00042422,0.0004412,0.21112,0.01654,604.526667,0.814372601,851.204329532175
"34","LFR",2019-04-26,95.3,0.034893321,17.90964829,9.03076389666667e-07,0.000403636238940904,2.283e-05,0.00020052,0.00022335,0.25587,0.02622,446.956917,0.4156395273,285.433787148514
"35","PC",2019-04-26,96.1,0.032650114,19.46880154,1.990418975e-07,5.86356707783051e-05,3.265e-05,0.00025166,0.00028431,0.265,0.0443,294.589589,0.3726956505,431.548701998348
"36","UTLC",2019-04-26,98.25,0.035558236,27.40497058,6.38387590333333e-07,5.6689980525402e-05,8.065e-05,0.00029677,0.00037742,0.15842,0.02111,88.801821,0.1245012462,69.8293372131185
"37","STF",2019-04-26,96.5,0.056873977,20.81109003,5.83581122166667e-07,0.00023052507747867,6.187e-05,0.00010991,0.00017178,0.1556,0.03111,395.018051,0.552127586,1542.7016591122
"38","WC",2019-04-26,98.85,0.040124448,24.50663828,8.744274075e-07,0.000263297222479331,3.42e-05,0.00014783,0.00018203,0.20985,0.02458,301.108154,0.2989627641,501.208138147688
"39","PR",2019-04-26,95.3,0.037150426,23.66179677,9.33712748166667e-07,0.000214420866470222,4.735e-05,0.00030515,0.0003525,0.20741,0.03479,229.643289,0.3238475986,207.27929781023
"40","LFR",2019-05-01,84.4,0.037483384,16.86462018,3.64422334e-07,0.000139885091219029,2.229e-05,0.0001906,0.00021289,0.17784,0.02381,383.854331,0.4383738638,109.416285073597
"41","PC",2019-05-01,86.7,0.033153202,21.42502483,2.1995834e-07,5.80215274916028e-05,3.03e-05,0.00011511,0.00014541,0.18349,0.03175,263.784167,0.3043518175,173.299085054455
