"","DOY","stream","gTarPerFlow","DRPloadUS.gPwin_2.5per_s","DRPloadUS.gPwin.hf_2.5per_s","DRPloadDS.gPwin.wS_2.5per_s","DRPloadDS.gPwin.wS.hf_2.5per_s","Svol_gPwindow.hf_2.5per_s","DRPloadUS.gPwin_50per_s","DRPloadUS.gPwin.hf_50per_s","DRPloadDS.gPwin.wS_50per_s","DRPloadDS.gPwin.wS.hf_50per_s","Svol_gPwindow.hf_50per_s","DRPloadUS.gPwin_97.5per_s","DRPloadUS.gPwin.hf_97.5per_s","DRPloadDS.gPwin.wS_97.5per_s","DRPloadDS.gPwin.wS.hf_97.5per_s","Svol_gPwindow.hf_97.5per_s","SorbDistM_2.5per_m","Qm3m_2.5per_m","SorbDistM_50per_m","Qm3m_50per_m","SorbDistM_97.5per_m","Qm3m_97.5per_m","SorbDistPerWat","TribDist2wat_km","AtCapDist2Wat","perDRPsorbed","s75per","s50per","s25per","s10per"
"1",68,"UTLC","Gtarget",3038.51293487948,3038.51293487948,3620.96386226727,3620.96386226727,582.450927387794,3038.51293487948,3038.51293487948,4935.87986758108,4935.87986758108,1897.3669327016,3038.51293487948,3038.51293487948,5782.62700031232,5782.62700031232,2744.11406543285,4459.2672641503,137.616863406824,23404.7299117167,137.616863406824,108749.755352047,137.616863406824,20.4465621875468,114.4678,91.0630700882833,62.4439314021503,2278.88470115961,1519.25646743974,759.628233719869,303.851293487948
"2",69,"STF","Gtarget",63282.2651,63282.2651,81114.1436,81114.1436,17831.880651,63282.2651,63282.2651,86516.837868423,86516.837868423,23234.5748855866,63282.2651,63282.2651,97799.403,97799.403,34517.14013,4476.45031949301,927.31171686747,20659.5808424623,927.31171686747,78538.9079710298,927.31171686747,53.3625572250451,38.7155,18.0559191575377,36.7157762903569,47461.698825,31641.13255,15820.566275,6328.22651
"3",69,"UTLC","Gtarget",10265.7331101788,10265.7331101788,11911.4234925168,11911.4234925168,1645.690382338,10265.7331101788,10265.7331101788,15656.9403991085,15656.9403991085,5391.20728892962,10265.7331101788,10265.7331101788,19024.97552631,19024.97552631,8759.2424161312,4767.69101633532,86.1620003442097,26842.7587388383,86.1620003442097,112395.995303609,86.1620003442097,23.4500521009737,114.4678,87.6250412611617,52.5165346796719,7699.29983263412,5132.86655508941,2566.43327754471,1026.57331101788
"4",69,"WC","Gtarget",12365.0089710657,12365.0089710657,12488.8640676662,12488.8640676662,123.855096600529,12365.0089710657,12365.0089710657,17617.3455840677,17617.3455840677,5252.33661300199,12365.0089710657,12365.0089710657,22227.3294665064,22227.3294665064,9862.32049544073,197.266591260171,225.837571477939,15841.9831370284,225.837571477939,68716.4139916303,225.837571477939,27.9436524996709,56.6926,40.8506168629716,42.4774185388182,9273.75672829927,6182.50448553285,3091.25224276642,1236.50089710657
"5",70,"STF","Gtarget",61375.1228,61375.1228,77416.6606,77416.6606,16041.53945,61375.1228,61375.1228,82192.1480593288,82192.1480593288,20817.0277704974,61375.1228,61375.1228,92293.0047,92293.0047,30917.88441,4725.57220034066,814.357028125,21427.3570246891,814.357028125,79790.361616637,814.357028125,55.3456807343031,38.7155,17.2881429753109,33.917696325159,46031.3421,30687.5614,15343.7807,6137.51228
"6",70,"UTLC","Gtarget",787.945320440077,787.945320440077,824.864876924351,824.864876924351,36.9195564842734,787.945320440077,787.945320440077,936.977953988503,936.977953988503,149.032633548426,787.945320440077,787.945320440077,1138.99535665479,1138.99535665479,351.050036214715,3220.37711757334,11.6587525807264,20149.3320629727,11.6587525807264,112776.57879016,11.6587525807264,17.6026201804985,114.4678,94.3184679370273,18.9140832088691,590.958990330058,393.972660220039,196.986330110019,78.7945320440077
"7",70,"WC","Gtarget",5011.5548320456,5011.5548320456,5011.5548320456,5011.5548320456,0,5011.5548320456,5011.5548320456,6606.07202718944,6606.07202718944,1594.51719514384,5011.5548320456,5011.5548320456,8144.16363854539,8144.16363854539,3132.60880649979,0,102.814920824688,14032.2852971553,102.814920824688,64717.2491484061,102.814920824688,24.7515289423229,56.6926,42.6603147028447,31.8168163091412,3758.6661240342,2505.7774160228,1252.8887080114,501.15548320456
"8",71,"STF","Gtarget",13444.6974,13444.6974,14295.3042,14295.3042,850.606592906,13444.6974,13444.6974,15893.1180399082,15893.1180399082,2448.42069378812,13444.6974,13444.6974,17081.0886,17081.0886,3636.39069,2623.92691066223,299.651822368421,17515.3380563519,299.651822368421,70197.825723698,299.651822368421,45.2411516223526,38.7155,21.2001619436481,18.2110509514935,10083.52305,6722.3487,3361.17435,1344.46974
"9",71,"UTLC","Gtarget",382.247534108913,382.247534108913,386.106036737681,386.106036737681,3.85850262876808,382.247534108913,382.247534108913,442.294926937109,442.294926937109,60.0473928281966,382.247534108913,382.247534108913,545.327010026496,545.327010026496,163.079475917583,475.010579255245,7.70482856730276,14585.1620929857,7.70482856730276,103710.128060859,7.70482856730276,12.7417160921986,114.4678,99.8826379070143,15.7090334063705,286.685650581685,191.123767054456,95.5618835272282,38.2247534108913
"10",71,"WC","Gtarget",855.014290949595,855.014290949595,855.014290949595,855.014290949595,0,855.014290949595,855.014290949595,1007.39164037046,1007.39164037046,152.377349420866,855.014290949595,855.014290949595,1222.5940502245,1222.5940502245,367.579759274907,0,40.779344417181,9923.65167620171,40.779344417181,54913.8518422383,40.779344417181,17.5043156888231,56.6926,46.7689483237983,17.8216143325082,641.260718212196,427.507145474797,213.753572737399,85.5014290949595
"11",72,"UTLC","Gtarget",362.06531932852,362.06531932852,364.412843129829,364.412843129829,2.34752380130905,362.06531932852,362.06531932852,419.880182310912,419.880182310912,57.8148629823924,362.06531932852,362.06531932852,515.508745314179,515.508745314179,153.443425985659,256.771718762647,7.26309349627223,14441.7775208224,7.26309349627223,102935.515767345,7.26309349627223,12.616454165121,114.4678,100.026022479178,15.9680753433151,271.54898949639,181.03265966426,90.5163298321301,36.206531932852
"12",73,"STF","Gtarget",33057.3307,33057.3307,40234.7317,40234.7317,7177.4017776,33057.3307,33057.3307,43003.3320756335,43003.3320756335,9945.99972271364,33057.3307,33057.3307,47818.1484,47818.1484,14760.81855,3465.00126562731,566.76872,18595.7093291216,566.76872,70338.7894919997,566.76872,48.0316910000428,38.7155,20.1197906708784,30.0871229228246,24792.998025,16528.66535,8264.332675,3305.73307
"13",73,"UTLC","Gtarget",6050.3226531958,6050.3226531958,6778.16950962696,6778.16950962696,727.84685643115,6050.3226531958,6050.3226531958,8989.03255903905,8989.03255903905,2938.70990584325,6050.3226531958,6050.3226531958,11160.1760975581,11160.1760975581,5109.85344436232,4277.35869540541,47.7616667520891,24120.0135983493,47.7616667520891,114233.134584016,47.7616667520891,21.0714398270512,114.4678,90.3477864016507,48.5711270999905,4537.74198989685,3025.1613265979,1512.58066329895,605.03226531958
"14",73,"WC","Gtarget",5724.43598747016,5724.43598747016,5724.43598747016,5724.43598747016,0,5724.43598747016,5724.43598747016,7807.48229163901,7807.48229163901,2083.04630416885,5724.43598747016,5724.43598747016,9705.45079037264,9705.45079037264,3981.01480290248,0,122.982075963656,13451.5387348586,122.982075963656,62316.0861225906,122.982075963656,23.7271508712928,56.6926,43.2410612651414,36.3886732025355,4293.32699060262,2862.21799373508,1431.10899686754,572.443598747016
