"","DOY","stream","gTarPerFlow","DRPloadUS.gPwin_2.5per_s","DRPloadUS.gPwin.hf_2.5per_s","DRPloadDS.gPwin.wS_2.5per_s","DRPloadDS.gPwin.wS.hf_2.5per_s","Svol_gPwindow.hf_2.5per_s","DRPloadUS.gPwin_50per_s","DRPloadUS.gPwin.hf_50per_s","DRPloadDS.gPwin.wS_50per_s","DRPloadDS.gPwin.wS.hf_50per_s","Svol_gPwindow.hf_50per_s","DRPloadUS.gPwin_97.5per_s","DRPloadUS.gPwin.hf_97.5per_s","DRPloadDS.gPwin.wS_97.5per_s","DRPloadDS.gPwin.wS.hf_97.5per_s","Svol_gPwindow.hf_97.5per_s","SorbDistM_2.5per_m","Qm3m_2.5per_m","SorbDistM_50per_m","Qm3m_50per_m","SorbDistM_97.5per_m","Qm3m_97.5per_m","SorbDistPerWat","TribDist2wat_km","AtCapDist2Wat","perDRPsorbed","s75per","s50per","s25per","s10per"
"1",68,"UTLC","Gtarget",1519.25646743974,1519.25646743974,1730.69963324604,1730.69963324604,211.443165806307,1519.25646743974,1519.25646743974,2321.23643475024,2321.23643475024,801.979967310503,1519.25646743974,1519.25646743974,2832.67906278869,2832.67906278869,1313.42259534895,2290.11649488724,137.616863406824,15889.0969642017,137.616863406824,94997.1849083519,137.616863406824,13.8808441886729,114.4678,98.5787030357983,52.7876618923996,1139.4423505798,759.628233719869,379.814116859934,151.925646743974
"2",69,"STF","Gtarget",31641.13256,31641.13256,31641.13256,31641.13256,0,31641.13256,31641.13256,37471.04576,37471.04576,5829.913321,31641.13256,31641.13256,55776.5094861083,55776.5094861083,24135.375081,0,927.31171686747,6852.28225542169,927.31171686747,92036.9504819277,927.31171686747,17.6990669251894,38.7155,31.8632177445783,18.4251094993042,23730.84942,15820.56628,7910.28314,3164.113256
"3",69,"UTLC","Gtarget",5132.86655508941,5132.86655508941,5842.32946222191,5842.32946222191,709.462907132494,5132.86655508941,5132.86655508941,7680.05121294153,7680.05121294153,2547.18465785212,5132.86655508941,5132.86655508941,9517.22726092345,9517.22726092345,4384.36070583404,2135.68691334252,86.1620003442097,21111.5376955346,86.1620003442097,107848.062881008,86.1620003442097,18.4432108379253,114.4678,93.3562623044654,49.6249927893897,3849.64991631706,2566.43327754471,1283.21663877235,513.286655508941
"4",69,"WC","Gtarget",6182.504859,6182.504859,6182.504859,6182.504859,0,6182.504859,6182.504859,7057.246069,7057.246069,874.7420642,6182.504859,6182.504859,12110.78107,12110.78107,5928.276409575,0,225.837568390805,3227.10496206897,225.837568390805,65243.9879568965,225.837568390805,5.69228605156399,56.6926,53.465495037931,14.1486676379497,4636.87864425,3091.2524295,1545.62621475,618.2504859
"5",70,"STF","Gtarget",30687.5609,30687.5609,30687.5609,30687.5609,0,30687.5609,30687.5609,35031.2034,35031.2034,4343.6422178,30687.5609,30687.5609,53640.15545,53640.15545,22952.59409875,0,814.357028125,5922.17409166667,814.357028125,93458.558546947,814.357028125,15.296648865872,38.7155,32.7933259083333,14.1544068358981,23015.670675,15343.78045,7671.890225,3068.75609
"6",70,"UTLC","Gtarget",393.972660220039,393.972660220039,393.972660220039,393.972660220039,0,393.972660220039,393.972660220039,452.990843397112,452.990843397112,59.0181831770729,393.972660220039,393.972660220039,634.159351794293,634.159351794293,240.186691574254,0,11.6587525807264,7774.91791821847,11.6587525807264,107921.689404149,11.6587525807264,6.79223145567441,114.4678,106.692882081782,14.9802737946614,295.479495165029,196.986330110019,98.4931650550097,39.3972660220039
"7",70,"WC","Gtarget",2505.777432,2505.777432,2505.777432,2505.777432,0,2505.777432,2505.777432,2542.285312,2542.285312,36.5078835,2505.777432,2505.777432,4840.39891375,4840.39891375,2334.6214602,0,102.814918958333,320.891132291667,102.814918958333,65186.0552604166,102.814918958333,0.566019431621881,56.6926,56.3717088677083,1.45694837194144,1879.333074,1252.888716,626.444358,250.5777432
"8",71,"STF","Gtarget",6722.34854,6722.34854,6722.34854,6722.34854,0,6722.34854,6722.34854,6722.34854,6722.34854,0,6722.34854,6722.34854,9988.17161375,9988.17161375,3265.82335125,0,299.651822368421,0,299.651822368421,87587.131055921,299.651822368421,0,38.7155,38.7155,0,5041.761405,3361.17427,1680.587135,672.234854
"9",71,"UTLC","Gtarget",191.123767054456,191.123767054456,191.123767054456,191.123767054456,0,191.123767054456,191.123767054456,193.192266972782,193.192266972782,2.06849991832534,191.123767054456,191.123767054456,298.09332512765,298.09332512765,106.969558073194,0,7.70482856730276,399.944739898938,7.70482856730276,97196.8340793573,7.70482856730276,0.349394973869454,114.4678,114.067855260101,1.08228293644713,143.342825290842,95.5618835272282,47.7809417636141,19.1123767054456
"10",71,"WC","Gtarget",427.507136,427.507136,427.507136,427.507136,0,427.507136,427.507136,427.507136,427.507136,0,427.507136,427.507136,763.93622025,763.93622025,336.42910235,0,40.7793443636364,0,40.7793443636364,59908.0667999999,40.7793443636364,0,56.6926,56.6926,0,320.630352,213.753568,106.876784,42.7507136
