"","Y","Qm3_MjHf_2.5per","gSS_MjHf_2.5per","gDRP_MjHf_2.5per","gPsorbedgDM_2.5per","gPsorbP_MjHf_2.5per","gPsorbWindow_2.5per","gDRPwoSorp_MjHf_2.5per","gDRPwindowWOsorp_2.5per","perSorbP_2.5per","Qm3_MjHf_50per","gSS_MjHf_50per","gDRP_MjHf_50per","gPsorbedgDM_50per","gPsorbP_MjHf_50per","gPsorbWindow_50per","gDRPwoSorp_MjHf_50per","gDRPwindowWOsorp_50per","perSorbP_50per","Qm3_MjHf_97.5per","gSS_MjHf_97.5per","gDRP_MjHf_97.5per","gPsorbedgDM_97.5per","gPsorbP_MjHf_97.5per","gPsorbWindow_97.5per","gDRPwoSorp_MjHf_97.5per","gDRPwindowWOsorp_97.5per","perSorbP_97.5per","Yn"
"1","1975",1314716178.85712,214627031103.221,118240854.032943,0.00212455633541747,8085759.84934603,8085759.84934603,126326613.882289,126326613.882289,0.0683838079103627,1314716178.85712,214627031103.221,118240854.032943,0.00335490142835734,15039982.6586351,14910106.7206103,133280836.691578,133150960.753554,0.127197852059194,1314716178.85712,214627031103.221,118240854.032943,0.00467208185198278,24658009.733327,23417646.2658066,142898863.76627,141658500.29875,0.208540524635055,1975
"2","1976",874870868.112317,225126394293.496,78139863.1033839,0.000633080724723332,5364457.10882675,5364457.10882675,83504320.2122106,83504320.2122106,0.0686519901081634,874870868.112317,225126394293.496,78139863.1033839,0.00137812124073606,16082010.5792051,15722651.7355477,94221873.682589,93862514.8389316,0.205810580419467,874870868.112317,225126394293.496,78139863.1033839,0.00224212441037253,29898180.8683113,28628015.530425,108038043.971695,106767878.633809,0.38262392178438,1976
"3","1977",2047538883.98221,902066404332.454,193320470.992056,0.00251652113544955,23410916.1995856,22201414.1967361,216731387.191642,215521885.188792,0.121099002498021,2047538883.98221,902066404332.454,193320470.992056,0.00370534188316861,61492674.8322581,43189785.682851,254813145.824314,236510256.674907,0.318086721580484,2047538883.98221,902066404332.454,193320470.992056,0.00529033684569218,136870365.432016,66600956.8334046,330190836.424072,259921427.825461,0.707997268626765,1977
"4","1978",3565907992.34426,478570670161.692,370171532.412451,0.00210238447696256,17225125.5506543,17225125.5506543,387396657.963105,387396657.963105,0.0465328207125929,3565907992.34426,478570670161.692,370171532.412451,0.00330822185270951,34229885.6511218,34066245.1968873,404401418.063573,404237777.609338,0.0924703351120539,3565907992.34426,478570670161.692,370171532.412451,0.00456206379248671,54806511.7350686,53664365.9190939,424978044.147519,423835898.331545,0.148057067970322,1978
"5","1982",3946766372.16205,936538027619.716,254446510.30016,0.00291709061750122,35595275.5258394,29426624.1814131,290041785.825999,283873134.481573,0.139892960150442,3946766372.16205,936538027619.716,254446510.30016,0.00430392242269424,65919516.0399175,56314704.3492927,320366026.340077,310761214.649452,0.259070230368477,3946766372.16205,936538027619.716,254446510.30016,0.00592088207001276,108577221.39812,84237300.5204221,363023731.69828,338683810.820582,0.426719239615572,1982
"6","1983",1982190857.22732,554733876479.236,114899722.712969,0.00188822967909899,17736999.0562315,15807174.2303223,132636721.7692,130706896.943291,0.15436938086039,1982190857.22732,554733876479.236,114899722.712969,0.00300884042716655,39468099.4384813,31680061.0379996,154367822.15145,146579783.750969,0.343500388918053,1982190857.22732,554733876479.236,114899722.712969,0.00427775527001309,72231737.5769325,49303565.8732485,187131460.289901,164203288.586217,0.628650234059961,1983
"7","1984",2739748438.8216,729463284740.874,143441837.058084,0.00255125314461118,25783624.0840452,22344675.5836154,169225461.142129,165786512.641699,0.179749678426139,2739748438.8216,729463284740.874,143441837.058084,0.0039355349354944,53347512.5702179,38330474.7798166,196789349.628302,181772311.8379,0.371910410967589,2739748438.8216,729463284740.874,143441837.058084,0.00537352732561914,92042728.6342211,53419721.130611,235484565.692305,196861558.188695,0.641672823786761,1984
"8","1985",1602800422.60058,693705514822.5,21072214.6292178,0.00125292351688442,18639989.5361697,5653026.64113079,39712204.1653876,26725241.2703486,0.884576674267749,1602800422.60058,693705514822.5,21072214.6292178,0.00222958070791783,48634431.1461001,9522605.05014721,69706645.7753179,30594819.679365,2.3079886002426,1602800422.60058,693705514822.5,21072214.6292178,0.00332202755421145,96817610.4619271,13453282.1333323,117889825.091145,34525496.7625501,4.59456265824495,1985
"9","1986",1407416917.67189,353032658339.395,32258411.3271583,0.00174798431016995,11186695.3223012,6076947.00278373,43445106.6494595,38335358.329942,0.346783826669204,1407416917.67189,353032658339.395,32258411.3271583,0.00293525549016463,23934507.5462569,10887205.0813484,56192918.8734153,43145616.4085066,0.741961756997826,1407416917.67189,353032658339.395,32258411.3271583,0.00430463730648084,45881512.6793809,15166269.8869044,78139924.0065392,47424681.2140627,1.42231160158694,1986
"10","1987",356294763.620898,43367948227.0682,19373850.3222598,0.000525803922909412,1140627.38985144,1045121.08698819,20514477.7121113,20418971.409248,0.0588745846013324,356294763.620898,43367948227.0682,19373850.3222598,0.00118303497873424,2932254.29540935,2763866.64893846,22306104.6176692,22137716.9711983,0.15135113808742,356294763.620898,43367948227.0682,19373850.3222598,0.00211591158301175,5861973.31306893,5455570.63227253,25235823.6353288,24829420.9545324,0.302571415364644,1987
