"","Yn","var","values","Yn2"
"1",2002,"Observed",3.93123829979098,"02"
"2",2002,"Without P sorption",5.58779614497165,"02"
"3",2003,"Observed",8.18778792562076,"03"
"4",2003,"Without P sorption",12.3166076336491,"03"
"5",2004,"Observed",4.62443392868506,"04"
"6",2004,"Without P sorption",6.51306186409708,"04"
"7",2005,"Observed",1.4305484556809,"05"
"8",2005,"Without P sorption",1.61556370518481,"05"
"9",2006,"Observed",2.17350406069772,"06"
"10",2006,"Without P sorption",2.72614683170197,"06"
"11",2007,"Observed",6.02883825030064,"07"
"12",2007,"Without P sorption",7.78084119519324,"07"
"13",2008,"Observed",6.63667387347391,"08"
"14",2008,"Without P sorption",9.277464032181,"08"
"15",2009,"Observed",4.88225117455809,"09"
"16",2009,"Without P sorption",7.21155591460772,"09"
"17",2010,"Observed",7.85083382239885,"10"
"18",2010,"Without P sorption",10.7013796669817,"10"
"19",2011,"Observed",19.7284081540078,"11"
"20",2011,"Without P sorption",41.8811400682651,"11"
"21",2012,"Observed",1.28956028782573,"12"
"22",2012,"Without P sorption",1.69340734704386,"12"
"23",2013,"Observed",5.33718548717415,"13"
"24",2013,"Without P sorption",7.08737862815058,"13"
"25",2014,"Observed",7.25682555183405,"14"
"26",2014,"Without P sorption",9.35363924592239,"14"
"27",2015,"Observed",13.9343364762053,"15"
"28",2015,"Without P sorption",21.6936583117953,"15"
"29",2016,"Observed",3.04295542539484,"16"
"30",2016,"Without P sorption",3.89652624807844,"16"
"31",2017,"Observed",7.41607029336559,"17"
"32",2017,"Without P sorption",10.5760113063824,"17"
"33",2018,"Observed",4.61083563131059,"18"
"34",2018,"Without P sorption",5.73503434728486,"18"
"35",2019,"Observed",12.0326585717233,"19"
"36",2019,"Without P sorption",20.9680647131156,"19"
