"","Y","Qm3window","gDRPwindow","gSSwindow","gTPwindow","Qm3e6_MjHf","mtDRP_MjHf","mtSS_MjHf","mtTP_MjHf","L10.Qm3e6_MjHf","L10.mtDRP_MjHf","L10.mtSS_MjHf","L10.mtTP_MjHf","Yn2","mtSSAt500Qm3e6pred","mtSSAt1000Qm3e6pred","mtSSAt2000Qm3e6pred","mtSSAt3000Qm3e6pred","mtSSAt4000Qm3e6pred"
"1",1975,1314716178.85712,118240854.032943,214627031103.221,443480035.659982,1314.71617885712,118.240854032943,214627.031103221,443.480035659982,3.1188320073808,2.07276755789492,5.33168441809441,2.64687407377798,"75",84247.7046000212,278057.162640689,665676.078722026,1053294.99480336,1440913.9108847
"2",1976,874870868.112317,78139863.1033839,225126394293.496,454056943.087824,874.870868112317,78.1398631033839,225126.394293496,454.056943087824,2.94194395541673,1.89287264603009,5.35242641558704,2.65711032095857,"76",85134.577399238,276115.69971846,658077.944356907,1040040.18899535,1422002.4336338
"3",1977,2047538883.98221,193320470.992056,902066404332.454,1586442997.64576,2047.53888398221,193.320470992056,902066.404332454,1586.44299764576,3.3112321580215,2.28627784455189,5.95523850868791,3.20042447211708,"77",86021.4501984557,274174.236796234,650479.809991792,1026785.38318735,1403090.95638291
"4",1978,3565907992.34426,370171532.412451,478570670161.692,1426784182.00368,3565.90799234426,370.171532412451,478570.670161692,1426.78418200368,3.55217013330577,2.56840301681676,5.67994607877961,3.15435828590139,"78",86908.3229976725,272232.773874005,642881.675626673,1013530.57737934,1384179.479132
"5",1982,3946766372.16205,254446510.30016,936538027619.716,1822713717.70973,3946.76637216205,254.44651030016,936538.027619716,1822.71371770973,3.59624141920427,2.40559649895945,5.97152541636166,3.2607184620821,"82",90455.8141945433,264466.922185099,612489.138166212,960511.354147322,1308533.57012843
"6",1983,1982190857.22732,114899722.712969,554733876479.236,1096392452.39301,1982.19085722732,114.899722712969,554733.876479236,1096.39245239301,3.2971454686407,2.06031898060845,5.74408468817695,3.03996603717816,"83",91342.686993761,262525.459262872,604891.003801093,947256.548339307,1289622.09287754
"7",1984,2739748438.8216,143441837.058084,729463284740.874,1493199949.53372,2739.7484388216,143.441837058084,729463.284740874,1493.19994953372,3.43771068813164,2.15667583859456,5.86300343792144,3.17411796657624,"84",92229.5597929778,260583.996340644,597292.869435977,934001.7425313,1270710.61562664
"8",1985,1602800422.60058,21072214.6292178,693705514822.5,1035466660.68064,1602.80042260058,21.0722146292178,693705.5148225,1035.46666068064,3.20487944826845,1.32371018110908,5.84117514706903,3.01513612030768,"85",93116.4325921955,258642.533418417,589694.735070858,920746.936723299,1251799.13837574
"9",1986,1407416917.67189,32258411.3271583,353032658339.395,649357712.32991,1407.41691767189,32.2584113271583,353032.658339395,649.35771232991,3.14842276710305,1.50864297530223,5.54781488295307,2.81248400295374,"86",94003.3053914132,256701.07049619,582096.600705747,907492.130915292,1232887.66112485
"10",1987,356294763.620898,19373850.3222598,43367948227.0682,90292716.7321683,356.294763620898,19.3738503222598,43367.9482270682,90.2927167321683,2.55180943967557,1.28721594015833,4.63716887580934,1.95565272029581,"87",94890.1781906299,254759.607573962,574498.466340624,894237.325107284,1213976.18387395
"11",1988,684771965.871407,25372750.8453274,172094694451.854,285623748.098002,684.771965871407,25.3727508453274,172094.694451854,285.623748098002,2.83554597229327,1.40436755481267,5.23576748156637,2.45579431388545,"88",95777.0509898476,252818.144651735,566900.331975512,880982.519299276,1195064.70662306
"12",1989,1563361628.46772,82900412.9601098,855250672906.614,1155553765.83443,1563.36162846772,82.9004129601098,855250.672906614,1155.55376583443,3.19405944832134,1.91855669395016,5.93209342455779,3.06279015722489,"89",96663.9237890644,250876.681729507,559302.197610389,867727.713491276,1176153.22937216
"13",1990,1620464696.39954,104157957.899861,516967475497.421,816869223.573801,1620.46469639954,104.157957899861,516967.475497421,816.869223573801,3.20963957388974,2.01769245661663,5.71346322074128,2.91215253385635,"90",97550.7965882821,248935.21880728,551704.063245278,854472.907683268,1157241.75212126
"14",1991,1007891168.17459,65650947.9509507,392344568779.349,588384398.655006,1007.89116817459,65.6509479509507,392344.568779349,588.384398655006,3.00341363963632,1.81724100136068,5.59366764505412,2.76966114864443,"91",98437.6693874998,246993.755885053,544105.928880159,841218.10187526,1138330.27487037
"15",1992,1240340289.17727,52494748.845876,302489504463.829,519628716.852431,1240.34028917727,52.494748845876,302489.504463829,519.628716852431,3.09354085083762,1.72011586223796,5.48071031045123,2.71569314399053,"92",99324.5421867166,245052.292962825,536507.794515043,827963.296067253,1119418.79761948
"16",1993,2726781589.634,131106764.656382,605600196649.633,1196306485.15868,2726.781589634,131.106764656382,605600.196649633,1196.30648515868,3.43565035311747,2.11762510036397,5.78218600751552,3.07784245704494,"93",100211.414985934,243110.830040598,528909.660149924,814708.490259245,1100507.32036858
"17",1994,1333163356.75797,16736695.303759,365817011444.937,635856106.475016,1333.16335675797,16.736695303759,365817.011444937,635.856106475016,3.12488336816242,1.22366970974892,5.56326389743587,2.80335884641209,"94",101098.287785152,241169.367118372,521311.525784813,801453.684451245,1081595.84311768
"18",1995,1540926532.79784,53848950.4412755,427591138040.31,773822782.989619,1540.92653279784,53.8489504412755,427591.13804031,773.822782989619,3.18778193322777,1.73117724297282,5.63102869574143,2.8886415121273,"95",101985.160584369,239227.904196143,513713.39141969,788198.878643237,1062684.36586679
"19",1996,2874603670.37268,126977010.059895,638126264295.963,1207895600.73946,2874.60367037268,126.977010059895,638126.264295963,1207.89560073946,3.45857797576123,2.10372509648399,5.80490661988343,3.08202939953172,"96",102872.033383586,237286.441273917,506115.257054579,774944.072835229,1043772.8886159
"20",1997,2714573178.7951,182344933.436654,648174449434.619,1283780084.26288,2714.5731787951,182.344933436654,648174.449434619,1283.78008426288,3.43370155375317,2.26089370068477,5.81169190746099,3.10849063403573,"97",103758.906182804,235344.97835169,498517.122689459,761689.267027222,1024861.411365
"21",1998,2334375374.31328,150963384.027842,586196936074.368,1227424153.81167,2334.37537431328,150.963384027842,586196.936074368,1227.42415381167,3.36817069313391,2.17887162250495,5.76804354414426,3.08899466527667,"98",104645.778982021,233403.515429461,490918.988324344,748434.461219221,1005949.9341141
"22",1999,1945541158.95745,86100683.6124336,330165647289.922,740831015.712592,1945.54115895745,86.1006836124336,330165.647289922,740.831015712592,3.28904042296758,1.93500659962937,5.51873188428551,2.86971915627493,"99",105532.651781239,231462.052507235,483320.853959225,735179.655411214,987038.45686321
"23",2000,1808753132.90482,127943231.637492,499967269162.155,843237013.916167,1808.75313290482,127.943231637492,499967.269162155,843.237013916167,3.25737929636046,2.10701731609082,5.69894157376092,2.92594966165729,"00",106419.524580455,229520.589585006,475722.71959411,721924.849603206,968126.979612313
"24",2001,1399514479.39341,94535201.8078911,228819931362.577,436820554.59539,1399.51447939341,94.5352018078911,228819.931362577,436.82055459539,3.14597739604129,1.97559355564367,5.35949385099415,2.64030306590851,"01",107306.397379673,227579.12666278,468124.585228991,708670.043795198,949215.502361417
"25",2002,2186553293.5746,146635112.90364,490112266004.179,946279932.406805,2186.5532935746,146.63511290364,490112.266004179,946.279932406805,3.33976006701054,2.16623797790649,5.69029557170518,2.97601963018158,"02",108193.270178891,225637.663740553,460526.450863879,695415.237987198,930304.02511052
"26",2003,2688957535.21129,285387165.884603,628570776398.179,1314568463.75033,2688.95753521129,285.387165884603,628570.776398179,1314.56846375033,3.42958394377442,2.45543443860756,5.79835418587017,3.11878320942656,"03",109080.142978108,223696.200818324,452928.316498756,682160.43217919,911392.547859624
"27",2004,2049153623.69236,185469623.14253,506705433110.938,888154272.47937,2049.15362369236,185.46962314253,506705.433110938,888.15427247937,3.31157451839188,2.26827278952047,5.70475556100559,2.94848840932279,"04",109967.015777325,221754.737896098,445330.182133645,668905.626371175,892481.070608735
"28",2005,534674570.086596,63274465.305778,78788308017.6029,208146758.770505,534.674570086596,63.274465305778,78788.3080176029,208.146758770505,2.7280895289036,1.8012284838859,4.89646177408622,2.3183696525082,"05",110853.888576543,219813.274973871,437732.047768526,655650.820563175,873569.593357839
"29",2006,1209464508.65887,89885595.8571891,208783644641.531,444584128.862028,1209.46450865887,89.8855958571891,208783.644641531,444.584128862028,3.0825931286551,1.95369010173384,5.31969647459776,2.64795395483019,"06",111740.76137576,217871.812051643,430133.91340341,642396.014755175,854658.116106935
"30",2007,2049006829.17326,239565921.583721,397433398141.41,965961522.629264,2049.00682917326,239.565921583721,397433.39814141,965.961522629264,3.31154340587182,2.37942503942365,5.59926436005376,2.98495982740659,"07",112627.634174977,215930.349129416,422535.779038291,629141.208947167,835746.638856046
