"","Y","TargetMonths","HighFlow","Qm3window","gDRPwindow","gSSwindow","gTPwindow","key","key2","DRP_TP","Qm3e6_MjHf","mtDRP_MjHf","mtSS_MjHf","mtTP_MjHf","Yn1975","Yg","Y2","mtSS_MjHf_pred","mtSS_MjHf_w75seds","mtSSmarJun_w2019seds","mtPsorbP_MjHf_obs","mtPsorbP_MjHf_w75seds","mtPsorbP_MjHf_w2019seds","mtPsorbP_MjHf_obsM75","mtPsorbP_MjHf_19m75","mtDRP_MjHf_w75ss","mtDRP_MjHf_pred","mtDRP_MjHf_pred_se","mtDRP_MjHf_pred75ss","mtDRP_MjHf_pred75ss_se"
"1",2003,"MarJun","G75th",2688957535.21129,285387165.884603,628570776398.179,1314568463.75033,"MarJun_G75th","MarJun_G75th",0.217095703840651,2688.95753521129,285.387165884603,628570.776398179,1314.56846375033,1975,"G2003","03",610859.50990922,932729.051746696,426934.057430662,9.47449422567948,14.0590946106911,6.4352089116379,-4.58460038501163,7.6238856990532,280.802565499591,237.805313724922,20.8466624677464,205.852027699991,13.8049990889364
"2",2004,"MarJun","G75th",2049153623.69236,185469623.14253,506705433110.938,888154272.47937,"MarJun_G75th","MarJun_G75th",0.208825908842135,2049.15362369236,185.46962314253,506705.433110938,888.15427247937,1975,"G2003","04",456319.725386549,684728.953059129,338177.021417968,7.63760881095888,10.3209706138242,5.09736748348663,-2.68336180286532,5.22360313033758,182.786261339664,182.496105704148,14.9539277170051,165.459113366327,12.3492273883678
"3",2005,"MarJun","G75th",534674570.086596,63274465.305778,78788308017.6029,208146758.770505,"MarJun_G75th","MarJun_G75th",0.303989673822123,534.674570086596,63.274465305778,78788.3080176029,208.146758770505,1975,"G2003","05",118410.128336995,97688.2238725731,128080.350420392,1.1875820470708,1.47246188933746,1.93056468109217,-0.284879842266657,-0.458102791754709,62.9895854635114,51.5737472894817,11.8699367340314,69.845095428869,12.945286892831
"4",2006,"MarJun","G75th",1209464508.65887,89885595.8571891,208783644641.531,444584128.862028,"MarJun_G75th","MarJun_G75th",0.20217904783795,1209.46450865887,89.8855958571891,208783.644641531,444.584128862028,1975,"G2003","06",262333.188818188,359249.568444548,221690.836071651,3.1470114581328,5.41499555755608,3.34156251788005,-2.26798409942328,2.07343303967603,87.6176117577658,109.907396726251,10.26623972667,112.446792122563,11.9411990553013
"5",2007,"MarJun","G75th",2049006829.17326,239565921.583721,397433398141.41,965961522.629264,"MarJun_G75th","MarJun_G75th",0.24800772698652,2049.00682917326,239.565921583721,397433.39814141,965.961522629264,1975,"G2003","07",432660.856048103,684672.052726746,338156.65729361,5.99054327240573,10.3201129508675,5.09706053352032,-4.32956967846173,5.22305241734714,235.23635190526,182.483415740165,14.9527103903185,165.449845748033,12.348996336757
"6",2008,"MarJun","G75th",2936648820.44771,240900735.004745,523966063685.378,1223956654.78964,"MarJun_G75th","MarJun_G75th",0.196821295968319,2936.64882044771,240.900735004745,523966.063685378,1223.95665478964,1975,"G2003","08",603156.062260777,1028738.87925282,461295.123263419,7.89777958384496,15.506257906331,6.95313582145405,-7.60847832248601,8.55312208487693,233.292256682259,259.217512952573,23.3308217805188,221.489588967783,14.57416620031
"7",2009,"MarJun","G75th",2634863754.92111,169255197.751303,592641065917.652,1216635399.88663,"MarJun_G75th","MarJun_G75th",0.13911743630596,2634.86375492111,169.255197751303,592641.065917652,1216.63539988663,1975,"G2003","09",531323.377981924,911761.279263876,419429.877604879,8.93292301801256,13.7430458111395,6.3220978490536,-4.81012279312698,7.42094796208595,164.445074958176,233.129061997113,20.3150404113692,202.436910358714,13.6505407106846
"8",2010,"MarJun","G75th",3178248133.14127,284630609.857037,489069162615.311,1195510229.33104,"MarJun_G75th","MarJun_G75th",0.238082956443045,3178.24813314127,284.630609857037,489069.162615311,1195.51022933104,1975,"G2003","10",623178.950327784,1122387.3429651,494811.077935338,7.37177598950508,16.917828189267,7.45832430766849,-9.54605219976188,9.45950388159846,275.084557657275,280.103078674922,25.8160432138871,236.74254407638,15.4113444383382
"9",2011,"MarJun","G75th",4599268009.58355,414105503.217386,969999352474.795,2251885914.62808,"MarJun_G75th","MarJun_G75th",0.183892754303132,4599.26800958355,414.105503217386,969999.352474795,2251.88591462808,1975,"G2003","11",870353.305657312,1673201.52720169,691942.589758568,14.6208726352139,25.2202914979749,10.4297022981806,-10.599418862761,14.7905891997943,403.506084354625,402.946160020284,41.067992736517,326.456178366766,21.4788821902082
"10",2012,"MarJun","G75th",549060432.958881,44061759.0221023,167411157537.71,317326982.943577,"MarJun_G75th","MarJun_G75th",0.138852859638277,549.060432958881,44.0617590221024,167411.15753771,317.326982943577,1975,"G2003","12",125810.556263577,103264.456446024,130076.034607439,2.52340087220438,1.55651285909609,1.96064577779031,0.966888013108282,-0.404132918694218,45.0286470352106,52.8173637598352,11.7866592610422,70.7533220216645,12.912837971848
