"","Y","TargetMonths","HighFlow","Qm3window","gDRPwindow","gSSwindow","gTPwindow","key","key2","DRP_TP","Qm3e6_MjHf","mtDRP_MjHf","mtSS_MjHf","mtTP_MjHf","Yn1975","Yg","Y2","mtSS_MjHf_pred","mtSS_MjHf_w75seds","mtSSmarJun_w2019seds","mtPsorbP_MjHf_obs","mtPsorbP_MjHf_w75seds","mtPsorbP_MjHf_w2019seds","mtPsorbP_MjHf_obsM75","mtPsorbP_MjHf_19m75","mtDRP_MjHf_w75ss","mtDRP_MjHf_pred","mtDRP_MjHf_pred_se"
"1",1975,"MarJun","G75th",1314716178.85712,118240854.032943,214627031103.221,443480035.659982,"MarJun_G75th","MarJun_G75th",0.26662046659435,1314.71617885712,118.240854032943,214627.031103221,443.480035659982,1975,"L2003","75",400047.106762543,400047.106762543,236291.913236065,3.23508925838774,6.02993989752476,3.56164564372251,-2.79485063913702,2.46829425380225,118.240854032943,72.3315716343523,4.93576928467466
"2",1976,"MarJun","G75th",874870868.112317,78139863.1033839,225126394293.496,454056943.087824,"MarJun_G75th","MarJun_G75th",0.172092651137525,874.870868112317,78.1398631033839,225126.394293496,454.056943087824,1975,"L2003","76",228321.09563298,229554.744168185,175274.208619179,3.39334694336889,3.46009579153749,2.6419212280098,-0.066748848168602,0.818174563527691,78.1398631033839,47.595652440103,4.12015906856282
"3",1977,"MarJun","G75th",2047538883.98221,193320470.992056,902066404332.454,1586442997.64576,"MarJun_G75th","MarJun_G75th",0.121857811014287,2047.53888398221,193.320470992056,902066.404332454,1586.44299764576,1975,"L2003","77",668368.956977792,684103.049402922,337953.016050041,13.5969142377266,10.3115363213002,5.09399103385734,3.28537791642641,5.21754528744288,193.320470992056,113.54388599776,8.47882366286122
"4",1982,"MarJun","G75th",3946766372.16205,254446510.30016,936538027619.716,1822713717.70973,"MarJun_G75th","MarJun_G75th",0.139597627333313,3946.76637216205,254.44651030016,936538.027619716,1822.71371770973,1975,"L2003","82",1290007.08500355,1420279.54976307,601424.05698894,14.1165075883059,21.4079796553517,9.06530969794373,-7.29147206704577,12.342669957408,254.44651030016,220.352203675543,19.9989513353574
"5",1983,"MarJun","G75th",1982190857.22732,114899722.712969,554733876479.236,1096392452.39301,"MarJun_G75th","MarJun_G75th",0.104797987675112,1982.19085722732,114.899722712969,554733.876479236,1096.39245239301,1975,"L2003","83",598793.766937967,658772.918104142,328887.586690173,8.36154512242536,9.92973336173347,4.95734714052278,-1.56818823930811,4.97238622121069,114.899722712969,109.86885873289,8.11568793642293
"6",1984,"MarJun","G75th",2739748438.8216,143441837.058084,729463284740.874,1493199949.53372,"MarJun_G75th","MarJun_G75th",0.0960633819354709,2739.7484388216,143.441837058084,729463.284740874,1493.19994953372,1975,"L2003","84",846372.732645623,952416.56675091,433980.044458393,10.9952545339851,14.3558459937163,6.54141359998021,-3.36059145973127,7.81443239373613,143.441837058084,152.472207377385,12.5385687397955
"7",1985,"MarJun","G75th",1602800422.60058,21072214.6292178,693705514822.5,1035466660.68064,"MarJun_G75th","MarJun_G75th",0.0203504520516059,1602.80042260058,21.0722146292178,693705.5148225,1035.46666068064,1975,"L2003","85",458200.94047736,511714.009062495,276256.507287897,10.4562749992442,7.71310345008898,4.16403495260099,2.7431715491552,3.54906849748799,21.0722146292178,88.5327869259467,6.14773992438449
"8",1986,"MarJun","G75th",1407416917.67189,32258411.3271583,353032658339.395,649357712.32991,"MarJun_G75th","MarJun_G75th",0.0496774131031945,1407.41691767189,32.2584113271583,353032.658339395,649.35771232991,1975,"L2003","86",389272.714438375,435979.666661864,249151.857767904,5.32128760754549,6.57155405469382,3.75548454744572,-1.25026644714833,2.81606950724809,32.2584113271583,77.5448544148067,5.28601271704995
"9",1987,"MarJun","G75th",356294763.620898,19373850.3222598,43367948227.0682,90292716.7321683,"MarJun_G75th","MarJun_G75th",0.214567143657087,356.294763620898,19.3738503222598,43367.9482270682,90.2927167321683,1975,"L2003","87",48942.0299119819,28544.8366395412,103334.545305157,0.653688320369255,0.430258453095785,1.55756931370085,0.22342986727347,-1.12731086060506,19.3738503222598,18.4320890158451,5.35151970989346
"10",1988,"MarJun","G75th",684771965.871407,25372750.8453274,172094694451.854,285623748.098002,"MarJun_G75th","MarJun_G75th",0.0888327774363553,684.771965871407,25.3727508453274,172094.694451854,285.623748098002,1975,"L2003","88",153810.634186852,155868.813733312,148902.66757606,2.59399617366444,2.34942226258429,2.24442102164159,0.244573911080148,0.105001240942706,25.3727508453274,36.9049141967324,4.3233972615392
"11",1989,"MarJun","G75th",1563361628.46772,82900412.9601098,855250672906.614,1155553765.83443,"MarJun_G75th","MarJun_G75th",0.0717408530967379,1563.36162846772,82.9004129601098,855250.672906614,1155.55376583443,1975,"L2003","89",424631.782617152,496426.786429159,270785.345877144,12.8912572238789,7.48267800238336,4.08156772831963,5.40857922149554,3.40111027406373,82.9004129601098,86.314837112779,5.96270147025481
"12",1990,"MarJun","G75th",1620464696.39954,104157957.899861,516967475497.421,816869223.573801,"MarJun_G75th","MarJun_G75th",0.127508730766194,1620.46469639954,104.157957899861,516967.475497421,816.869223573801,1975,"L2003","90",436792.597950742,518561.015725814,278706.990252264,7.79228934175215,7.81630889254771,4.20097126521332,-0.024019550795555,3.61533762733439,104.157957899861,89.5261862839536,6.23215265431202
"13",1991,"MarJun","G75th",1007891168.17459,65650947.9509507,392344568779.349,588384398.655006,"MarJun_G75th","MarJun_G75th",0.11157832889693,1007.89116817459,65.6509479509507,392344.568779349,588.384398655006,1975,"L2003","91",249338.318008874,281115.928695137,193727.49930791,5.91383896762944,4.23728137415252,2.92006905581211,1.67655759347691,1.31721231834041,65.6509479509507,55.0764174116868,4.18767292985248
"14",1992,"MarJun","G75th",1240340289.17727,52494748.845876,302489504463.829,519628716.852431,"MarJun_G75th","MarJun_G75th",0.101023571529793,1240.34028917727,52.494748845876,302489.504463829,519.628716852431,1975,"L2003","92",315100.792488193,371217.605022259,225974.090228204,4.55944687691894,5.59539066611966,3.40612432746005,-1.03594378920072,2.18926633865961,52.494748845876,68.1488374953759,4.69028151964759
"15",1993,"MarJun","G75th",2726781589.634,131106764.656382,605600196649.633,1196306485.15868,"MarJun_G75th","MarJun_G75th",0.109592956556607,2726.781589634,131.106764656382,605600.196649633,1196.30648515868,1975,"L2003","93",736622.988212314,947390.370723825,432181.213473476,9.12825696273322,14.2800857658727,6.51429968628981,-5.15182880313952,7.76578607958293,131.106764656382,151.74298070184,12.4601904408906
"16",1994,"MarJun","G75th",1333163356.75797,16736695.303759,365817011444.937,635856106.475016,"MarJun_G75th","MarJun_G75th",0.0263215138351692,1333.16335675797,16.736695303759,365817.011444937,635.856106475016,1975,"L2003","94",334502.469069105,407197.581865232,238851.00486367,5.51398711605839,6.13771954241932,3.60021902282178,-0.623732426360928,2.53750051959754,16.736695303759,73.3689997727695,5.00181040212398
"17",1995,"MarJun","G75th",1540926532.79784,53848950.4412755,427591138040.31,773822782.989619,"MarJun_G75th","MarJun_G75th",0.0695882204879434,1540.92653279784,53.8489504412755,427591.13804031,773.822782989619,1975,"L2003","95",387704.387103304,487730.518963423,267673.02887116,6.44511313670797,7.35159851383124,4.03465554180238,-0.906485377123267,3.31694297202885,53.8489504412755,85.053137374147,5.85968868389773
"18",1996,"MarJun","G75th",2874603670.37268,126977010.059895,638126264295.963,1207895600.73946,"MarJun_G75th","MarJun_G75th",0.105122503949978,2874.60367037268,126.977010059895,638126.264295963,1207.89560073946,1975,"L2003","96",741233.92603828,1004689.00543264,452687.886701602,9.61852480793128,15.1437523632904,6.82339830236149,-5.52522755535916,8.32035406092895,126.977010059895,160.056164803055,13.3570249562377
"19",1997,"MarJun","G75th",2714573178.7951,182344933.436654,648174449434.619,1283780084.26288,"MarJun_G75th","MarJun_G75th",0.142037515359457,2714.5731787951,182.344933436654,648174.449434619,1283.78008426288,1975,"L2003","97",686572.878439218,942658.159747373,430487.597131062,9.76998185246695,14.2087567966388,6.48877168075849,-4.43877494417181,7.71998511588027,182.344933436654,151.056406907317,12.3864517564803
"20",1998,"MarJun","G75th",2334375374.31328,150963384.027842,586196936074.368,1227424153.81167,"MarJun_G75th","MarJun_G75th",0.122992026480036,2334.37537431328,150.963384027842,586196.936074368,1227.42415381167,1975,"L2003","98",577025.820965026,795286.298877627,377744.515044827,8.8357901679307,11.9874097387323,5.69377126802212,-3.15161957080163,6.29363847071021,150.963384027842,129.674930420576,10.1233169520174
"21",1999,"MarJun","G75th",1945541158.95745,86100683.6124336,330165647289.922,740831015.712592,"MarJun_G75th","MarJun_G75th",0.116221758790181,1945.54115895745,86.1006836124336,330165.647289922,740.831015712592,1975,"L2003","99",469604.915525783,644566.801786065,323803.343642216,4.97661144333015,9.71560351020552,4.88071196560129,-4.73899206687537,4.83489154460424,86.1006836124336,107.807761449934,7.9144147788825
"22",2000,"MarJun","G75th",1808753132.90482,127943231.637492,499967269162.155,843237013.916167,"MarJun_G75th","MarJun_G75th",0.151728671211071,1808.75313290482,127.943231637492,499967.269162155,843.237013916167,1975,"L2003","00",428637.333557706,591545.175394639,304827.373761643,7.53604396285977,8.91640457836801,4.59468575533046,-1.38036061550824,4.32171882303755,127.943231637492,100.115107972625,7.18110833824603
"23",2001,"MarJun","G75th",1399514479.39341,94535201.8078911,228819931362.577,436820554.59539,"MarJun_G75th","MarJun_G75th",0.216416560103165,1399.51447939341,94.5352018078911,228819.931362577,436.82055459539,1975,"L2003","01",323680.520312307,432916.532101961,248055.589073319,3.44901990327623,6.52538319885705,3.73896040759284,-3.07636329558083,2.78642279126422,94.5352018078911,77.1004389125405,5.25445252879737
"24",2002,"MarJun","G75th",2186553293.5746,146635112.90364,490112266004.179,946279932.406805,"MarJun_G75th","MarJun_G75th",0.154959550426777,2186.5532935746,146.63511290364,490112.266004179,946.279932406805,1975,"L2003","02",504345.727725476,737987.66416882,357237.841816708,7.38749876473692,11.1237431413148,5.38467265195055,-3.73624437657789,5.73907048936425,146.63511290364,121.36174631936,9.26682613045702
