"","Y","TargetMonths","HighFlow","Qm3window","gDRPwindow","gSSwindow","gTPwindow","key","key2","DRP_TP","Qm3e6_MjHf","mtDRP_MjHf","mtSS_MjHf","mtTP_MjHf","Yn1975","Yg","Y2","mtSS_MjHf_pred","mtSS_MjHf_w75seds","mtSSmarJun_w2019seds","mtPsorbP_MjHf_obs","mtPsorbP_MjHf_w75seds","mtPsorbP_MjHf_w2019seds","mtPsorbP_MjHf_obsM75","mtPsorbP_MjHf_19m75","mtDRP_MjHf_w75ss","mtDRP_MjHf_pred","mtDRP_MjHf_pred_se","mtDRP_MjHf_pred75ss","mtDRP_MjHf_pred75ss_se"
"1",2003,"MarJun","G75th",2688957535.21129,285387165.884603,628570776398.179,1314568463.75033,"MarJun_G75th","MarJun_G75th",0.217095703840651,2688.95753521129,285.387165884603,628570.776398179,1314.56846375033,1975,"G2003","03",610859.50990922,932729.051746696,426934.057430662,89.4393357736969,132.718016773037,60.7484470318089,-43.2786809993405,71.9695697412285,242.108484885262,237.805313724922,20.8466624677464,176.084668086803,12.2501306995374
"2",2004,"MarJun","G75th",2049153623.69236,185469623.14253,506705433110.938,888154272.47937,"MarJun_G75th","MarJun_G75th",0.208825908842135,2049.15362369236,185.46962314253,506705.433110938,888.15427247937,1975,"G2003","04",456319.725386549,684728.953059129,338177.021417968,72.0991160773554,97.4300827307835,48.1192083775627,-25.3309666534281,49.3108743532209,160.138656489101,182.496105704148,14.9539277170051,139.853117157197,10.5407156484666
"3",2005,"MarJun","G75th",534674570.086596,63274465.305778,78788308017.6029,208146758.770505,"MarJun_G75th","MarJun_G75th",0.303989673822123,534.674570086596,63.274465305778,78788.3080176029,208.146758770505,1975,"G2003","05",118410.128336995,97688.2238725731,128080.350420392,11.2107883478247,13.9000573748284,18.2245530613176,-2.68926902700371,-4.32449568648916,60.5851962787743,51.5737472894817,11.8699367340314,54.0894574254675,10.8182841883262
"4",2006,"MarJun","G75th",1209464508.65887,89885595.8571891,208783644641.531,444584128.862028,"MarJun_G75th","MarJun_G75th",0.20217904783795,1209.46450865887,89.8855958571891,208783.644641531,444.584128862028,1975,"G2003","06",262333.188818188,359249.568444548,221690.836071651,29.7078247960435,51.1176210939748,31.5443890646353,-21.4097962979313,19.5732320293395,68.4757995592578,109.907396726251,10.26623972667,92.3022372881672,9.86653157987982
"5",2007,"MarJun","G75th",2049006829.17326,239565921.583721,397433398141.41,965961522.629264,"MarJun_G75th","MarJun_G75th",0.24800772698652,2049.00682917326,239.565921583721,397433.39814141,965.961522629264,1975,"G2003","07",432660.856048103,684672.052726746,338156.65729361,56.5507982215412,97.4219863824886,48.1163107663078,-40.8711881609474,49.3056756161808,198.694733422774,182.483415740165,14.9527103903185,139.844804308527,10.5404256917087
"6",2008,"MarJun","G75th",2936648820.44771,240900735.004745,523966063685.378,1223956654.78964,"MarJun_G75th","MarJun_G75th",0.196821295968319,2936.64882044771,240.900735004745,523966.063685378,1223.95665478964,1975,"G2003","08",603156.062260777,1028738.87925282,461295.123263419,74.5551312017924,146.379255128884,65.6376830891518,-71.824123927092,80.7415720397326,169.076611077652,259.217512952573,23.3308217805188,190.111214743196,13.105765191872
"7",2009,"MarJun","G75th",2634863754.92111,169255197.751303,592641065917.652,1216635399.88663,"MarJun_G75th","MarJun_G75th",0.13911743630596,2634.86375492111,169.255197751303,592641.065917652,1216.63539988663,1975,"G2003","09",531323.377981924,911761.279263876,419429.877604879,84.3268972694227,129.734512426457,59.6806772843983,-45.4076151570343,70.0538351420587,123.847582594269,233.129061997113,20.3150404113692,173.021383351789,12.0755413003381
"8",2010,"MarJun","G75th",3178248133.14127,284630609.857037,489069162615.311,1195510229.33104,"MarJun_G75th","MarJun_G75th",0.238082956443045,3178.24813314127,284.630609857037,489069.162615311,1195.51022933104,1975,"G2003","10",623178.950327784,1122387.3429651,494811.077935338,69.5896511485326,159.704495030504,70.4066682794193,-90.1148438819709,89.2978267510843,194.515765975066,280.103078674922,25.8160432138871,203.792778179771,14.0170970778651
"9",2011,"MarJun","G75th",4599268009.58355,414105503.217386,969999352474.795,2251885914.62808,"MarJun_G75th","MarJun_G75th",0.183892754303132,4599.26800958355,414.105503217386,969999.352474795,2251.88591462808,1975,"G2003","11",870353.305657312,1673201.52720169,691942.589758568,138.021207863639,238.079845305528,98.4565110967466,-100.05863744189,139.623334208782,314.046865775496,402.946160020284,41.067992736517,284.263924258061,20.3208490156365
"10",2012,"MarJun","G75th",549060432.958881,44061759.0221023,167411157537.71,317326982.943577,"MarJun_G75th","MarJun_G75th",0.138852859638277,549.060432958881,44.0617590221024,167411.15753771,317.326982943577,1975,"G2003","12",125810.556263577,103264.456446024,130076.034607439,23.8209336060407,14.6934995077047,18.5085189642925,9.12743409833599,-3.81501945658783,53.1891931204383,52.8173637598352,11.7866592610422,54.9041165951593,10.7856278602591
"11",2013,"MarJun","G75th",2207838498.84481,208383753.03592,426112864102.902,990026278.576297,"MarJun_G75th","MarJun_G75th",0.210483052364615,2207.83849884481,208.38375303592,426112.864102902,990.026278576297,1975,"G2003","13",412833.49064615,746238.212364227,360190.639848564,60.631599433202,106.182235237306,51.2515261440521,-45.5506358041038,54.9307090932536,162.833117231816,196.213956769986,16.3154422607079,148.839306569817,10.8845137108398
"12",2014,"MarJun","G75th",2819311068.17648,275972894.836013,409719862572.411,1064458615.18682,"MarJun_G75th","MarJun_G75th",0.259261272254891,2819.31106817648,275.972894836013,409719.862572411,1064.45861518682,1975,"G2003","14",506180.939296797,983256.546902034,445017.399860229,58.2990392454283,139.90757405869,63.321525826112,-81.6085348132622,76.5860482325784,194.364360022751,249.074001742003,22.1446484134771,183.466477706051,12.6894953902755
"13",2015,"MarJun","G75th",3611389827.51361,392619561.804816,629950774997.251,1573694592.86367,"MarJun_G75th","MarJun_G75th",0.24948904545091,3611.38982751361,392.619561804816,629950.774997251,1573.69459286367,1975,"G2003","15",621751.769616328,1290281.25704734,554898.820873231,89.6356957743588,183.594120065266,78.956553222052,-93.9584242909072,104.637566843214,298.661137513909,317.546932401348,30.3770599529336,228.321223656339,15.798275164135
"14",2016,"MarJun","G75th",1965431816.29617,119749723.116614,286518599699.757,683190336.36727,"MarJun_G75th","MarJun_G75th",0.175280177048989,1965.43181629617,119.749723116614,286518.599699757,683.19033636727,1975,"G2003","16",348770.463015255,652276.796823844,326562.68249267,40.7687315512784,92.8124654200648,46.466604091882,-52.0437338687864,46.3458613281828,67.7059892478273,175.25859624573,14.2740975182949,135.112022465556,10.3841680562733
